# Taskr #205 - provision-member round trip measured from a phone, 2026-09-07.
#
# Device      Samsung SM-S918U, Android 16, curl 8.15.0 under `adb shell`. No browser.
# Function    provision-member, deployment v8, ezbr_sha256
#             c7c2e6f4f2afafe5ce05c1948ece9f3fd517228fcbbec26b5e9826ba7f0efd73,
#             deployed 2026-09-04T22:31:12.914Z; source last moved by commit dbe6bbd.
# Analysis    docs/hosting-decision.md, section "Measured 2026-09-07".
#
# Every row is a REFUSAL. auth=key sends the publishable key and reaches the
# function (401 {"error":"Sign in first."}); auth=none sends no Authorization
# header and is refused by the GATEWAY one hop short of it
# (401 {"code":"UNAUTHORIZED_NO_AUTH_HEADER"}), so it times the network without
# booting anything. `reached` is classified from the body that came back, not
# from which call was intended. No write, no credential minted, no provider call.
#
# The per-pass public egress addresses are REDACTED: they are the owner's home
# and cellular IPs and this repo is public. They were recorded at capture time
# and differed between the wifi and cellular passes, which is the control that
# the two networks really are two networks.
#
# Times are seconds as curl reports them. idle_s is the idle ACTUALLY SLEPT
# before a cold window, 0 where it does not apply.
#
# pass  1,2 = warm (wireless debugging); 3 = cold schedule, six 930 s idle
#             windows over USB, detached on the phone.
# phase warm | first-after-idle | reused | control | cold | warm-after-cold
#
pass	ts_utc	network	phase	auth	reached	idle_s	http	dns_s	connect_s	appconnect_s	starttransfer_s	total_s	remote_ip	num_connects	body
# 1 network=wifi iface=wlan0 egress=<redacted> started=2026-09-07T04:19:59Z
1	2026-09-07T04:21:48Z	cellular	warm	key	function	0	401	0.007317	0.043905	0.111337	0.451739	0.452271	172.64.149.246	1	{"error":"Sign in first."}
1	2026-09-07T04:21:50Z	cellular	warm	key	function	0	401	0.005624	0.045626	0.112136	0.454751	0.454979	172.64.149.246	1	{"error":"Sign in first."}
1	2026-09-07T04:21:50Z	cellular	warm	none	gateway	0	401	0.008003	0.038264	0.110770	0.308145	0.308306	172.64.149.246	1	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
1	2026-09-07T04:21:52Z	cellular	reused	key	function	0	401	0.008150	0.064583	0.132250	0.424166	0.424431	172.64.149.246	1	-
1	2026-09-07T04:21:52Z	cellular	reused	key	function	0	401	0.000000	0.000000	0.000000	0.314692	0.318301	172.64.149.246	0	-
1	2026-09-07T04:21:53Z	cellular	reused	key	function	0	401	0.000000	0.000000	0.000000	0.315506	0.315839	172.64.149.246	0	-
1	2026-09-07T04:21:53Z	cellular	reused	key	function	0	401	0.000000	0.000000	0.000000	0.322395	0.323125	172.64.149.246	0	-
1	2026-09-07T04:21:53Z	cellular	reused	key	function	0	401	0.000000	0.000000	0.000000	0.317856	0.318611	172.64.149.246	0	-
1	2026-09-07T04:21:53Z	cellular	reused	key	function	0	401	0.000000	0.000000	0.000000	0.320578	0.321073	172.64.149.246	0	-
1	2026-09-07T04:21:54Z	cellular	reused	key	function	0	401	0.000000	0.000000	0.000000	0.315953	0.316678	172.64.149.246	0	-
1	2026-09-07T04:21:54Z	cellular	reused	key	function	0	401	0.000000	0.000000	0.000000	0.314651	0.315195	172.64.149.246	0	-
1	2026-09-07T04:21:54Z	cellular	reused	key	function	0	401	0.000000	0.000000	0.000000	0.321960	0.322691	172.64.149.246	0	-
1	2026-09-07T04:21:54Z	cellular	reused	key	function	0	401	0.000000	0.000000	0.000000	0.315816	0.316377	172.64.149.246	0	-
# 1 network=cellular finished=2026-09-07T04:21:55Z
# 2 pass=2 network=wifi iface=wlan0 egress=<redacted> started=2026-09-07T04:24:06Z
2	2026-09-07T04:24:06Z	wifi	warm	key	function	0	401	0.043664	0.070168	0.203304	0.538091	0.538353	172.64.149.246	1	{"error":"Sign in first."}
2	2026-09-07T04:24:07Z	wifi	warm	none	gateway	0	401	0.074844	0.181683	0.308645	0.598305	0.598482	172.64.149.246	1	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
2	2026-09-07T04:24:08Z	wifi	warm	key	function	0	401	0.006026	0.038548	0.089372	0.383340	0.383591	172.64.149.246	1	{"error":"Sign in first."}
2	2026-09-07T04:24:09Z	wifi	warm	none	gateway	0	401	0.007583	0.271990	0.379555	0.682297	0.683401	172.64.149.246	1	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
2	2026-09-07T04:24:11Z	wifi	warm	key	function	0	401	0.007596	0.046853	0.084176	0.258846	0.258973	172.64.149.246	1	{"error":"Sign in first."}
2	2026-09-07T04:24:11Z	wifi	warm	none	gateway	0	401	0.008357	0.122169	0.244431	0.413449	0.413681	172.64.149.246	1	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
2	2026-09-07T04:24:13Z	wifi	warm	key	function	0	401	0.007139	0.126362	0.250967	0.645682	0.645836	172.64.149.246	1	{"error":"Sign in first."}
2	2026-09-07T04:24:14Z	wifi	warm	none	gateway	0	401	0.007388	0.129507	0.264087	0.437955	0.438332	172.64.149.246	1	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
2	2026-09-07T04:24:15Z	wifi	warm	key	function	0	401	0.005382	0.239310	0.295445	0.553595	0.553910	172.64.149.246	1	{"error":"Sign in first."}
2	2026-09-07T04:24:16Z	wifi	warm	none	gateway	0	401	0.008619	0.047708	0.167205	0.363984	0.364118	172.64.149.246	1	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
2	2026-09-07T04:24:18Z	wifi	warm	key	function	0	401	0.007860	0.074769	0.167767	0.536221	0.536398	172.64.149.246	1	{"error":"Sign in first."}
2	2026-09-07T04:24:18Z	wifi	warm	none	gateway	0	401	0.009567	0.061497	0.092286	0.227582	0.227690	172.64.149.246	1	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
2	2026-09-07T04:24:20Z	wifi	warm	key	function	0	401	0.012478	0.068463	0.133666	0.431511	0.431759	172.64.149.246	1	{"error":"Sign in first."}
2	2026-09-07T04:24:20Z	wifi	warm	none	gateway	0	401	0.008801	0.257794	0.374240	0.519582	0.520279	172.64.149.246	1	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
2	2026-09-07T04:24:22Z	wifi	warm	key	function	0	401	0.007366	0.063738	0.119587	0.363084	0.363746	172.64.149.246	1	{"error":"Sign in first."}
2	2026-09-07T04:24:23Z	wifi	warm	none	gateway	0	401	0.009209	0.297070	0.450648	0.821798	0.822002	172.64.149.246	1	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
2	2026-09-07T04:24:24Z	wifi	warm	key	function	0	401	0.007620	0.053371	0.119267	0.389827	0.389914	172.64.149.246	1	{"error":"Sign in first."}
2	2026-09-07T04:24:25Z	wifi	warm	none	gateway	0	401	0.008655	0.054217	0.177424	0.409321	0.409595	172.64.149.246	1	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
2	2026-09-07T04:24:26Z	wifi	warm	key	function	0	401	0.008025	0.060185	0.127576	0.384108	0.384323	172.64.149.246	1	{"error":"Sign in first."}
2	2026-09-07T04:24:27Z	wifi	warm	none	gateway	0	401	0.008359	0.045396	0.120279	0.244838	0.244934	172.64.149.246	1	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
2	2026-09-07T04:24:28Z	wifi	warm	key	function	0	401	0.008185	0.053789	0.192800	0.478518	0.478696	172.64.149.246	1	{"error":"Sign in first."}
2	2026-09-07T04:24:29Z	wifi	warm	none	gateway	0	401	0.008827	0.036880	0.101410	0.231745	0.232877	172.64.149.246	1	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
2	2026-09-07T04:24:30Z	wifi	warm	key	function	0	401	0.007555	0.113790	0.188854	0.421373	0.421500	172.64.149.246	1	{"error":"Sign in first."}
2	2026-09-07T04:24:31Z	wifi	warm	none	gateway	0	401	0.007153	0.043243	0.174660	0.348148	0.348443	172.64.149.246	1	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
2	2026-09-07T04:24:32Z	wifi	warm	key	function	0	401	0.005611	0.050140	0.092110	0.266276	0.266551	172.64.149.246	1	{"error":"Sign in first."}
2	2026-09-07T04:24:33Z	wifi	warm	none	gateway	0	401	0.004429	0.035018	0.086953	0.213925	0.214048	172.64.149.246	1	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
2	2026-09-07T04:24:34Z	wifi	warm	key	function	0	401	0.009221	0.067261	0.180146	0.480513	0.480816	172.64.149.246	1	{"error":"Sign in first."}
2	2026-09-07T04:24:35Z	wifi	warm	none	gateway	0	401	0.005467	0.040738	0.166649	0.359571	0.359879	172.64.149.246	1	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
2	2026-09-07T04:24:36Z	wifi	warm	key	function	0	401	0.075325	0.110998	0.162583	0.389244	0.389487	172.64.149.246	1	{"error":"Sign in first."}
2	2026-09-07T04:24:37Z	wifi	warm	none	gateway	0	401	0.039429	0.077001	0.251262	0.502493	0.502840	172.64.149.246	1	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
2	2026-09-07T04:24:39Z	wifi	warm	key	function	0	401	0.295277	0.348733	0.394813	0.716433	0.716666	172.64.149.246	1	{"error":"Sign in first."}
2	2026-09-07T04:24:39Z	wifi	warm	none	gateway	0	401	0.022107	0.064857	0.176189	0.370385	0.370532	172.64.149.246	1	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
2	2026-09-07T04:24:41Z	wifi	warm	key	function	0	401	0.005012	0.058223	0.128013	0.404887	0.405172	172.64.149.246	1	{"error":"Sign in first."}
2	2026-09-07T04:24:41Z	wifi	warm	none	gateway	0	401	0.007589	0.119858	0.244398	0.386873	0.387161	172.64.149.246	1	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
2	2026-09-07T04:24:44Z	wifi	warm	key	function	0	401	0.004918	0.438486	0.566452	1.268019	1.268500	172.64.149.246	1	{"error":"Sign in first."}
2	2026-09-07T04:24:45Z	wifi	warm	none	gateway	0	401	0.007692	0.323331	0.763383	1.370754	1.370946	172.64.149.246	1	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
2	2026-09-07T04:24:48Z	wifi	warm	key	function	0	401	0.007446	0.190860	0.711667	1.125050	1.125454	172.64.149.246	1	{"error":"Sign in first."}
2	2026-09-07T04:24:48Z	wifi	warm	none	gateway	0	401	0.005801	0.061149	0.103919	0.259645	0.259764	172.64.149.246	1	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
2	2026-09-07T04:24:50Z	wifi	warm	key	function	0	401	0.004148	0.144764	0.188539	0.413240	0.413357	172.64.149.246	1	{"error":"Sign in first."}
2	2026-09-07T04:24:50Z	wifi	warm	none	gateway	0	401	0.009991	0.122799	0.273073	0.413958	0.414144	172.64.149.246	1	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
2	2026-09-07T04:24:52Z	wifi	warm	key	function	0	401	0.006723	0.128975	0.266854	0.504539	0.504655	172.64.149.246	1	{"error":"Sign in first."}
2	2026-09-07T04:24:52Z	wifi	warm	none	gateway	0	401	0.007538	0.062557	0.114575	0.345728	0.345822	172.64.149.246	1	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
2	2026-09-07T04:24:54Z	wifi	warm	key	function	0	401	0.006937	0.128909	0.182880	0.510476	0.510679	172.64.149.246	1	{"error":"Sign in first."}
2	2026-09-07T04:24:55Z	wifi	warm	none	gateway	0	401	0.008901	0.051398	0.170536	0.485440	0.485557	172.64.149.246	1	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
2	2026-09-07T04:24:56Z	wifi	warm	key	function	0	401	0.007448	0.026419	0.084420	0.280666	0.280908	172.64.149.246	1	{"error":"Sign in first."}
2	2026-09-07T04:24:57Z	wifi	warm	none	gateway	0	401	0.005212	0.130319	0.205911	0.415283	0.415701	172.64.149.246	1	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
2	2026-09-07T04:24:59Z	wifi	warm	key	function	0	401	0.007020	0.310545	0.472903	0.836816	0.836931	172.64.149.246	1	{"error":"Sign in first."}
2	2026-09-07T04:24:59Z	wifi	warm	none	gateway	0	401	0.005179	0.057774	0.178338	0.303328	0.303438	172.64.149.246	1	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
